Query Type,Target,Result
Panel Timeline,Think of family,0_0_0
Panel Timeline,Think of family,0_0_1
Panel Timeline,Think of family,0_0_2
Panel Timeline,Think of family,0_0_3
Panel Timeline,Think of family,0_0_4
Panel Timeline,Think of family,0_0_5
Panel Timeline,Think of family,0_1_0
Panel Timeline,Think of family,0_1_1
Panel Timeline,Think of family,0_1_2
Panel Timeline,Think of family,0_1_3
Panel Timeline,Think of family,0_1_4
Panel Timeline,Think of family,0_1_5
Panel Timeline,Think of family,0_2_0
Panel Timeline,Think of family,0_2_1
Panel Timeline,Think of family,0_2_2
Panel Timeline,Message from family,0_3_0
Panel Timeline,Message from family,0_3_1
Panel Timeline,Message from family,0_3_2
Panel Timeline,Message from family,0_3_3
Panel Timeline,Message from family,0_3_4
Panel Timeline,Message from family,0_3_3
Panel Timeline,Message from family,0_3_4
Panel Timeline,Message from family,0_3_5
Panel Timeline,Message from family,0_4_0
Panel Timeline,Message from family,0_4_1
Panel Timeline,Message from family,0_4_2
Panel Timeline,Message from family,0_4_3
Panel Timeline,Message from family,0_4_4
Panel Timeline,Message from family,0_4_5
Panel Timeline,Message from family,0_4_6
Panel Timeline,Shock by message - financial problem,0_5_0
Panel Timeline,Shock by message - financial problem,0_5_1
Panel Timeline,Shock by message - financial problem,0_5_2
Panel Timeline,Shock by message - financial problem,0_5_3
Panel Timeline,Shock by message - financial problem,0_5_4
Panel Timeline,Shock by message - financial problem,0_5_5
Panel Timeline,Shock by message - financial problem,0_5_6
Panel Timeline,Shock by message - financial problem,0_5_7
Panel Timeline,Shock by message - financial problem,0_6_0
Panel Timeline,Shock by message - financial problem,0_6_1
Panel Timeline,Shock by message - financial problem,0_6_2
Panel Timeline,Shock by message - financial problem,0_6_3
Panel Timeline,Shock by message - financial problem,0_6_4
Panel Timeline,Shock by message - financial problem,0_6_5
Panel Timeline,Ask advices,0_7_0
Panel Timeline,Ask advices,0_7_1
Panel Timeline,Ask advices,0_7_2
Panel Timeline,Ask advices,0_7_3
Panel Timeline,Ask advices,0_7_4
Panel Timeline,Ask advices,0_7_5
Panel Timeline,Ask advices,0_7_6
Panel Timeline,Ask advices,0_8_0
Panel Timeline,Ask advices,0_8_1
Panel Timeline,Ask advices,0_8_2
Panel Timeline,Ask advices,0_8_3
Panel Timeline,Ask advices,0_8_4
Panel Timeline,Ask advices,0_8_5
